year;month;day
2008;1;2
2008;2;1
2008;2;4
2008;2;15
2008;3;4
2008;3;26
2008;6;25
2008;6;26
2008;7;4
2008;7;19
2008;8;14
2008;8;24
2008;8;30
2008;9;14
2008;10;13
2008;10;19
2008;10;23
2009;3;4
2009;3;6
2009;3;14
2009;5;28
2010;3;24
2010;4;22
2010;4;25
2010;4;28
2010;4;29
2010;5;7
2010;6;23
2010;7;9
2010;7;28
2010;8;27
2010;11;3
2011;1;8
2011;1;17
2011;1;19
2011;2;13
2011;3;8
2012;2;1
2012;9;24
2012;9;26
2013;7;9
2013;11;6
2013;11;8
2013;11;10
2013;11;18
2013;11;24
2013;11;28
2013;11;30
2013;12;8
2013;12;9
2013;12;14
2013;12;15
2014;1;12
2014;1;17
2014;1;25
2014;3;12
2014;3;16
2014;3;23
2014;3;27
2014;5;4
2014;5;6
2014;6;18
2014;7;6
2014;7;9
2014;7;13
2014;8;30
2014;9;13
2014;9;24
2014;9;28
2014;10;5
2014;10;11
2014;10;24
2014;10;25
2014;10;29
2014;10;31
2014;11;3
2014;11;5
2014;11;6
2014;11;9
2014;11;11
2014;11;22
2014;12;21
2015;1;4
2015;1;6
2015;1;11
2015;1;17
2015;1;25
2015;1;26
2015;2;29
2015;5;3
2015;5;9
2015;6;7
2015;6;9
2015;6;10
2015;6;11
2015;6;15
2015;6;29
2015;7;12
2015;7;14
2015;7;19
2015;8;1
2015;8;5
2015;8;6
2015;8;8
2015;8;27
2015;9;3
2015;9;7
2015;9;8
2015;9;13
2015;9;18
2015;9;22
2015;10;8
2016;4;4
2016;4;11
2016;4;13
2016;4;14
2016;4;15
2016;4;16
2016;6;23
2018;2;21
2018;3;2
2018;3;5
2018;5;7
2018;5;29
2018;9;5
2018;9;10
2018;9;19
2018;10;6
2018;12;19
2019;7;1
2019;8;24
2019;11;13
2020;5;23
2022;4;10
2022;4;12
2022;4;20
2022;5;13
2022;5;14
2022;6;4
2022;6;5
2022;6;6
2022;6;7
2022;6;8
2022;6;9
2022;6;10
2022;6;11
2022;6;15
2022;6;17
2022;6;18
2022;6;23
2022;6;25
2022;6;26
2022;6;27
2022;6;28
2022;6;29
2022;6;30
2022;7;1
2022;7;2
2022;7;4
2022;7;5
2022;7;6
2022;7;7
2022;7;8
2022;7;9
2022;7;10
2022;7;11
2022;7;12
2022;7;15
2022;7;16
2022;7;17
2022;7;18
2022;7;19
2022;7;24
2022;7;25
2022;7;28
2022;7;29
2022;7;31
2022;8;2
2022;8;3
2022;8;4
2022;8;6
2022;8;7
2022;8;9
2022;8;10
2022;8;11
2022;8;15
2022;8;17
2022;8;20
2022;8;24
2022;8;25
2022;8;28
2022;8;29
2022;9;3
2022;9;7
2022;9;10
2022;9;17
2022;9;18
2022;9;21
2022;9;22
2022;9;24
2022;9;28
2022;10;8
2022;10;9
2022;10;14
2022;10;20
2022;10;21
2022;10;22
2022;10;24
2022;10;25
2022;10;27
2022;10;29
2022;10;30
2022;11;8
2022;11;9
2022;11;12
2022;11;17
2022;11;20
2022;11;22
2022;11;27
2022;12;11
2023;1;2
2023;1;7
2023;1;20
2023;3;2
2023;3;3
2023;3;15
2023;3;17
2023;3;19
2023;5;12
2023;8;10
2023;8;13
2023;8;14
2023;8;23
2023;8;24
2023;9;7
2023;9;12
2023;10;23
2023;10;25
2023;10;27
2023;10;30
2023;10;31
2023;11;1
2023;11;2
2023;11;6
2023;11;7
2023;11;14
2023;11;15
2023;11;16
2023;11;18
2023;11;21
2023;11;25
2023;11;26
2023;11;27
2023;11;30
2023;12;7
2023;12;8
2023;12;11
2023;12;16
2023;12;20
2023;12;22
2023;12;23
2023;12;24
2023;12;25
2023;12;26
2023;12;27
2023;12;28
2023;12;30
2024;1;1
2024;1;2
2024;1;3
2024;1;6
2024;1;9
2024;1;10
2024;1;11
2024;1;12
2024;1;13
2024;1;15
2024;1;16
2024;1;17
2024;1;19
2024;1;25
2024;1;26
2024;1;27
2024;2;15
2024;2;28
2024;3;7
2024;3;25
2024;4;27
2024;5;6
2024;5;7
2024;5;8
2024;5;9
2024;5;10
2024;5;12
2024;5;17
2024;5;18
2024;5;20
2024;5;23
2024;5;24
2024;5;27
2024;5;28
2024;5;31
2024;6;1
2024;6;3
2024;6;4
2024;6;7
2024;6;8